SCHOOL NAME, MASCOT, ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE, HOME STATE, PIPELINE STATES (separated by .);
Connecticut, Huskies, UCONN, Big East, 000E2F, E4002B, 95, CT, CT.MA.DE.NJ.RI;
Villanova, Wildcats,VILL, Big East, 00205B, 13B5EA, 90, PA, PA.NY.NJ.DE.MD.DC;
Rhode Island, Rams, RI,Atlantic 10, 68ABE8, FFFFFF,70, RI, RI.MA.ME;
Providence, Friars, PROV, Big East, 000000, 8A8D8F,75, RI, RI.MA.ME;
Seton Hall, Pirates,HALL, Big East, 004488, A2AAAD, 75, NJ, NJ.RI.NY;
Hofstra, Pride, HOFS,Big East, 003591, FDC82F, 50, NY, NY.NJ.PA;
Georgetown, Hoyas, GTOWN, Big East, 041E42, 8D817B, 95, DC, DC.MD;
St. John’s, Red Storm, STJ, Big East, BA0C2F, A7A8AA, 80, NY, NY.NJ;
Vermont, Catamounts, VER,Atlantic 10, 154734, FFC72C, 50, VT, VT.NH;
Hartford, Hawks, HART,Big East, 9E1B32, 6C6F70, 54, PA, PA.DE.MD.DC;
Northeastern, Huskies, NE,Big East, D41B2C, 000000, 50, MA, MA;
LIU-Brooklyn, Sharks, LIU,Atlantic 10, 61B2F4, FCC630, 52, NY, NY.NJ;
Old Dominion, Monarchs, ODU,Big East, 003057, 7C878E, 50, VA, VA.DE;
St. Joseph’s, Hawks, STJOS,Atlantic 10, C02427, 0F0708, 75, CT, CT.MA;
Temple, Owls, TEMP,AAC, 9D2235, C1C6C8, 60, PA, PA.DE.MD.DC;
Buffalo, Bulls, BUFF,Big East, 005BBB, FFFFFF, 70, NY, NY.NJ.RI;
Miami, Hurricanes, MIAMI, ACC, 005030, FF671F, 85, FL, TN.GA.SC.NC.FL;
Boston College, Eagles, BC, ACC, 98002E, BC9B6A,70, MA, MA.RI.ME;
Florida State, Seminoles, FSU, ACC, 782F40, CEB888,80, FL, FL.TN.GA.SC.NC;
Clemson, Tigers, CLEM, ACC, F56600, 522D80, 80, SC, SC.FL.NC.TN.GA.KY;
Virginia Tech, Hokies, VTECH, ACC, 6A2C3E, CF4520, 80, VA, VA.MD.DC;
Pittsburgh, Panthers, PITT, ACC, 1C2957, CDB87D, 75, PA, PA.OH.WV;
Virginia, Cavaliers, UVA, ACC, 232D4B, F84C1E, 85, VA, VA.MD.DC;
Syracuse, Orange, SYR, ACC, D44500, 6F777D, 85, NY, NY.NJ.DE.RI.MA;
Georgia Tech, Yellow Jackets, GTECH, ACC, B3A369, 003057, 70, GA, GA.TN.KY.FL;
Louisville, Cardinals, LOU,ACC, AD0000, 000000, 85, KY, KY.OH.TN.FL.GA.SC.NC;
Wake Forest, Demon Deacons, WAKE, ACC, A67F31, 000000, 70, NC, NC.SC.FL.GA;
Duke, Blue Devils, DUKE, ACC, 0736A4, FFFFFF, 95, NC, NC.SC.TN.KY.GA.FL;
North Carolina, Tar Heels, UNC, ACC, 7BAFD4, FFFFFF, 95, NC, NC.SC.KY.TN.FL.GA;
NC State, Wolfpack, NCST, ACC, CC0000, 000000, 80, NC, NC.SC.KY.TN;
VCU, Rams, VCU,Atlantic 10, FFB300, 000000, 75, VA, PA.MD.DC.VA;
Davidson, Wildcats, DAV,Atlantic 10, AC1A2F, 000000, 70, NC, NC.SC;
Illinois, Fighting Illini, ILLI,Big Ten, E84A27, 13294B, 85, IL, WI.MI.IL;
Northwestern, Wildcats, NW, Big Ten, 4E2A84, FFFFFF, 80, IL, IL.WI;
Purdue, Boilermakers, PUR,Big Ten, C28E0E, 000000, 85, IN, IN.CO.ND.SD.MN;
Indiana, Hoosiers, IU,Big Ten, 990000, EEEDEB,90, IN, MI.IL.IN;
Michigan State, Spartans, MSU,Big Ten, 18453B, FFFFFF, 95, MI, MI.IL.IN.NE;
Michigan, Wolverines, MICH,Big Ten, 00274C, FFCB05, 95, MI, MI.IN.IL;
Wisconsin, Badgers, WIS,Big Ten, C5050C, FFFFFF, 90, WI, WI.IL.MN.NE;
